Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A096MJG3	unreviewed	A0A096MJG3_RAT	TNF superfamily member 13b	Tnfsf13b	Rattus norvegicus (Rat)	290
A0A0G2JSP0	unreviewed	A0A0G2JSP0_RAT	Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56)	Adgrg1	Rattus norvegicus (Rat)	687
A0A0G2JSP1	unreviewed	A0A0G2JSP1_RAT	Uromodulin	Umod	Rattus norvegicus (Rat)	638
A0A0G2JST5	unreviewed	A0A0G2JST5_RAT	Elastin (Tropoelastin)	Eln	Rattus norvegicus (Rat)	876
A0A0G2JTX5	unreviewed	A0A0G2JTX5_RAT	Dipeptidyl peptidase 4 (EC 3.4.14.5) (Dipeptidyl peptidase IV) (T-cell activation antigen CD26)	Dpp4	Rattus norvegicus (Rat)	771
A0A0G2JWM7	unreviewed	A0A0G2JWM7_RAT	Interferon, lambda 1	Ifnl1	Rattus norvegicus (Rat)	192
A0A0G2JWX2	unreviewed	A0A0G2JWX2_RAT	Laminin subunit alpha 2	Lama2	Rattus norvegicus (Rat)	3121
A0A0G2JWX9	unreviewed	A0A0G2JWX9_RAT	Calcium-activated chloride channel regulator 1	Clca1	Rattus norvegicus (Rat)	910
A0A0G2JXL5	unreviewed	A0A0G2JXL5_RAT	Mucin 19, oligomeric	Muc19 AC096792.1	Rattus norvegicus (Rat)	5634
A0A0G2JXV7	unreviewed	A0A0G2JXV7_RAT	Neurotrophin-3 (NT-3)	Ntf3	Rattus norvegicus (Rat)	271
A0A0G2JZ95	unreviewed	A0A0G2JZ95_RAT	High mobility group protein B1 (High mobility group protein 1)	Hmgb1 AABR07035218.1	Rattus norvegicus (Rat)	170
A0A0G2K069	unreviewed	A0A0G2K069_RAT	Collagen type XI alpha 2 chain	Col11a2	Rattus norvegicus (Rat)	1736
A0A0G2K0I3	unreviewed	A0A0G2K0I3_RAT	Nicotinamide phosphoribosyltransferase (NAmPRTase) (EC 2.4.2.12)	Nampt	Rattus norvegicus (Rat)	478
A0A0G2K0K9	unreviewed	A0A0G2K0K9_RAT	SPARC related modular calcium binding 2	Smoc2	Rattus norvegicus (Rat)	457
A0A0G2K1Y4	unreviewed	A0A0G2K1Y4_RAT	Mucin 5AC, oligomeric mucus/gel-forming	Muc5ac	Rattus norvegicus (Rat)	3586
A0A0G2K238	unreviewed	A0A0G2K238_RAT	Dipeptidyl peptidase 4 (EC 3.4.14.5) (Dipeptidyl peptidase IV) (T-cell activation antigen CD26)	Dpp4	Rattus norvegicus (Rat)	741
A0A0G2K259	unreviewed	A0A0G2K259_RAT	Clusterin	Clu	Rattus norvegicus (Rat)	447
A0A0G2K2R5	unreviewed	A0A0G2K2R5_RAT	EGF containing fibulin extracellular matrix protein 2	Efemp2	Rattus norvegicus (Rat)	406
A0A0G2K391	unreviewed	A0A0G2K391_RAT	NACHT, LRR and PYD domains-containing protein 3	Nlrp3	Rattus norvegicus (Rat)	997
A0A0G2K3W2	unreviewed	A0A0G2K3W2_RAT	Coagulation factor V	F5	Rattus norvegicus (Rat)	2259
A0A0G2K4Q9	unreviewed	A0A0G2K4Q9_RAT	Insulin-like growth factor-binding protein 3	Igfbp3	Rattus norvegicus (Rat)	292
A0A0G2K6C2	unreviewed	A0A0G2K6C2_RAT	TNF superfamily member 13b	Tnfsf13b	Rattus norvegicus (Rat)	274
A0A0G2K6N2	unreviewed	A0A0G2K6N2_RAT	Adhesion G protein-coupled receptor B2	Adgrb2	Rattus norvegicus (Rat)	1527
A0A0G2K6S8	unreviewed	A0A0G2K6S8_RAT	Plasminogen (EC 3.4.21.7)	Plg	Rattus norvegicus (Rat)	765
A0A0G2K7A5	unreviewed	A0A0G2K7A5_RAT	Collagen type X alpha 1 chain	Col10a1	Rattus norvegicus (Rat)	680
A0A0G2K836	unreviewed	A0A0G2K836_RAT	ADAM metallopeptidase with thrombospondin type 1 motif, 20	Adamts20	Rattus norvegicus (Rat)	1909
A0A0G2K869	unreviewed	A0A0G2K869_RAT	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	LOC100909955 AABR07056556.1	Rattus norvegicus (Rat)	164
A0A0G2K8T0	unreviewed	A0A0G2K8T0_RAT	Acid ceramidase (EC 3.5.1.23)	Asah1	Rattus norvegicus (Rat)	428
A0A0G2K8X5	unreviewed	A0A0G2K8X5_RAT	Mucin 5AC, oligomeric mucus/gel-forming	Muc5ac	Rattus norvegicus (Rat)	3922
A0A0G2K944	unreviewed	A0A0G2K944_RAT	Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Large fibroblast proteoglycan) (PG-M)	Vcan	Rattus norvegicus (Rat)	2391
A0A0G2K9Z3	unreviewed	A0A0G2K9Z3_RAT	Nucleobindin-1	Nucb1	Rattus norvegicus (Rat)	466
A0A0G2KA54	unreviewed	A0A0G2KA54_RAT	Kininogen 1	Kng1 Kng1l1 Kng2	Rattus norvegicus (Rat)	659
A0A0G2KAI7	unreviewed	A0A0G2KAI7_RAT	EGF containing fibulin extracellular matrix protein 2	Efemp2	Rattus norvegicus (Rat)	333
A0A0H2UHJ1	unreviewed	A0A0H2UHJ1_RAT	Protein S100-A9 (Calgranulin-B) (S100 calcium-binding protein A9)	S100a9	Rattus norvegicus (Rat)	133
A0A0H2UHJ7	unreviewed	A0A0H2UHJ7_RAT	Interleukin-17F	Il17f	Rattus norvegicus (Rat)	153
A0A0H2UHL7	unreviewed	A0A0H2UHL7_RAT	Interleukin 1 receptor type 2	Il1r2	Rattus norvegicus (Rat)	434
A0A0H2UHM3	unreviewed	A0A0H2UHM3_RAT	Haptoglobin	Hp	Rattus norvegicus (Rat)	346
A0A0H2UI19	unreviewed	A0A0H2UI19_RAT	Coagulation factor XII (EC 3.4.21.38) (Hageman factor)	F12	Rattus norvegicus (Rat)	604
A0A0U1RRP9	unreviewed	A0A0U1RRP9_RAT	Complement C2 (EC 3.4.21.43) (C3/C5 convertase)	Cfb C2	Rattus norvegicus (Rat)	502
A0A0U5JXV5	unreviewed	A0A0U5JXV5_RAT	TNF superfamily member 13b (Tumor necrosis factor ligand 7a)	Tnfsf13b Tnlg7a	Rattus norvegicus (Rat)	293
A0A140TA94	unreviewed	A0A140TA94_RAT	Chordin	Chrd	Rattus norvegicus (Rat)	970
A0A1W2Q668	unreviewed	A0A1W2Q668_RAT	Scavenger receptor cysteine-rich domain-containing protein DMBT1 (Deleted in malignant brain tumors 1 protein) (Hensin)	Dmbt1 AABR07005821.1	Rattus norvegicus (Rat)	1413
A0A1W2Q6N9	unreviewed	A0A1W2Q6N9_RAT	Cellular communication network factor 4	Ccn4 Wisp1	Rattus norvegicus (Rat)	367
A0A3B0J380	unreviewed	A0A3B0J380_RAT	Complement C1q subcomponent subunit A	C1qa Adic	Rattus norvegicus (Rat)	257
A0A8I5Y0Q9	unreviewed	A0A8I5Y0Q9_RAT	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Matrix metalloproteinase-2)	Mmp2	Rattus norvegicus (Rat)	650
A0A8I5Y1H8	unreviewed	A0A8I5Y1H8_RAT	Neuregulin 3	Nrg3	Rattus norvegicus (Rat)	719
A0A8I5Y4N3	unreviewed	A0A8I5Y4N3_RAT	Albumin	Alb	Rattus norvegicus (Rat)	616
A0A8I5Y5S9	unreviewed	A0A8I5Y5S9_RAT	alpha-1,6-mannosyl-glycoprotein 6-beta-N-acetylglucosaminyltransferase (EC 2.4.1.155)	Mgat5	Rattus norvegicus (Rat)	741
A0A8I5Y6U6	unreviewed	A0A8I5Y6U6_RAT	SPARC related modular calcium binding 2	Smoc2	Rattus norvegicus (Rat)	416
A0A8I5Y8F2	unreviewed	A0A8I5Y8F2_RAT	EGF containing fibulin extracellular matrix protein 2	Efemp2	Rattus norvegicus (Rat)	444
A0A8I5YC12	unreviewed	A0A8I5YC12_RAT	Apolipoprotein M	Apom	Rattus norvegicus (Rat)	262
A0A8I5YC76	unreviewed	A0A8I5YC76_RAT	Retinoschisin 1	Rs1	Rattus norvegicus (Rat)	180
A0A8I5YCJ2	unreviewed	A0A8I5YCJ2_RAT	Transcobalamin-2 (Transcobalamin II)	Tcn2	Rattus norvegicus (Rat)	431
A0A8I5ZJB3	unreviewed	A0A8I5ZJB3_RAT	Calreticulin	Calr	Rattus norvegicus (Rat)	413
A0A8I5ZJF8	unreviewed	A0A8I5ZJF8_RAT	Adhesion G protein-coupled receptor B2	Adgrb2	Rattus norvegicus (Rat)	1505
A0A8I5ZKH8	unreviewed	A0A8I5ZKH8_RAT	Corneodesmosin	Cdsn AABR07044375.1	Rattus norvegicus (Rat)	540
A0A8I5ZKQ4	unreviewed	A0A8I5ZKQ4_RAT	CD44 antigen (Extracellular matrix receptor III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (Phagocytic glycoprotein I)	Cd44	Rattus norvegicus (Rat)	621
A0A8I5ZKR3	unreviewed	A0A8I5ZKR3_RAT	Perforin 1	Prf1	Rattus norvegicus (Rat)	585
A0A8I5ZL36	unreviewed	A0A8I5ZL36_RAT	EGF containing fibulin extracellular matrix protein 2	Efemp2	Rattus norvegicus (Rat)	405
A0A8I5ZLU3	unreviewed	A0A8I5ZLU3_RAT	Parathyroid hormone-related protein (PTH-rP) (PTHrP) [Cleaved into: Osteostatin]	Pthlh	Rattus norvegicus (Rat)	177
A0A8I5ZM36	unreviewed	A0A8I5ZM36_RAT	Collagen type XI alpha 2 chain	Col11a2	Rattus norvegicus (Rat)	1715
A0A8I5ZMX2	unreviewed	A0A8I5ZMX2_RAT	ADAM metallopeptidase with thrombospondin type 1, motif 3	Adamts3	Rattus norvegicus (Rat)	1203
A0A8I5ZNV1	unreviewed	A0A8I5ZNV1_RAT	Chitinase-3-like protein 1	Chi3l1	Rattus norvegicus (Rat)	400
A0A8I5ZPF0	unreviewed	A0A8I5ZPF0_RAT	Haptoglobin	Hp	Rattus norvegicus (Rat)	393
A0A8I5ZPI9	unreviewed	A0A8I5ZPI9_RAT	Hyaluronidase (EC 3.2.1.35)	Hyal6	Rattus norvegicus (Rat)	451
A0A8I5ZPP7	unreviewed	A0A8I5ZPP7_RAT	Laminin subunit alpha 2	Lama2	Rattus norvegicus (Rat)	3137
A0A8I5ZR92	unreviewed	A0A8I5ZR92_RAT	Collagen type XI alpha 2 chain	Col11a2	Rattus norvegicus (Rat)	1676
A0A8I5ZRH5	unreviewed	A0A8I5ZRH5_RAT	Complement C8 alpha chain	C8a	Rattus norvegicus (Rat)	580
A0A8I5ZRQ4	unreviewed	A0A8I5ZRQ4_RAT	CD44 antigen (Extracellular matrix receptor III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (Phagocytic glycoprotein I)	Cd44	Rattus norvegicus (Rat)	579
A0A8I5ZTR6	unreviewed	A0A8I5ZTR6_RAT	von Willebrand factor A domain-containing protein 1	Col6a3	Rattus norvegicus (Rat)	3109
A0A8I5ZU04	unreviewed	A0A8I5ZU04_RAT	Neuregulin 3	Nrg3	Rattus norvegicus (Rat)	703
A0A8I5ZU12	unreviewed	A0A8I5ZU12_RAT	EGF containing fibulin extracellular matrix protein 2	Efemp2	Rattus norvegicus (Rat)	403
A0A8I5ZUK6	unreviewed	A0A8I5ZUK6_RAT	Protein AMBP	Ambp	Rattus norvegicus (Rat)	359
A0A8I5ZUR3	unreviewed	A0A8I5ZUR3_RAT	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	Galnt1	Rattus norvegicus (Rat)	526
A0A8I5ZUS8	unreviewed	A0A8I5ZUS8_RAT	Tetraspanin	Cd63	Rattus norvegicus (Rat)	236
A0A8I5ZWS8	unreviewed	A0A8I5ZWS8_RAT	nucleoside diphosphate phosphatase (EC 3.6.1.6) (Guanosine-diphosphatase ENTPD5) (Uridine-diphosphatase ENTPD5)	Entpd5	Rattus norvegicus (Rat)	452
A0A8I5ZY93	unreviewed	A0A8I5ZY93_RAT	Collagen type XI alpha 2 chain	Col11a2	Rattus norvegicus (Rat)	1710
A0A8I5ZYC9	unreviewed	A0A8I5ZYC9_RAT	Latent transforming growth factor beta binding protein 4	Ltbp4	Rattus norvegicus (Rat)	1630
A0A8I5ZYG7	unreviewed	A0A8I5ZYG7_RAT	EGF containing fibulin extracellular matrix protein 2	Efemp2	Rattus norvegicus (Rat)	471
A0A8I5ZZI8	unreviewed	A0A8I5ZZI8_RAT	Pro-interleukin-16 [Cleaved into: Interleukin-16 (IL-16) (Lymphocyte chemoattractant factor) (LCF)]	Il16 IL16	Rattus norvegicus (Rat)	1370
A0A8I6A0N9	unreviewed	A0A8I6A0N9_RAT	Adhesion G protein-coupled receptor B2	Adgrb2	Rattus norvegicus (Rat)	1505
A0A8I6A1A7	unreviewed	A0A8I6A1A7_RAT	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVa) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVa)	ENSRNOG00000069701	Rattus norvegicus (Rat)	510
A0A8I6A1U6	unreviewed	A0A8I6A1U6_RAT	Collagen type XI alpha 2 chain	Col11a2	Rattus norvegicus (Rat)	1655
A0A8I6A2Q9	unreviewed	A0A8I6A2Q9_RAT	Bactericidal permeability-increasing protein (BPI)	Bpi	Rattus norvegicus (Rat)	467
A0A8I6A371	unreviewed	A0A8I6A371_RAT	N-myc (and STAT) interactor	Nmi	Rattus norvegicus (Rat)	311
A0A8I6A3D8	unreviewed	A0A8I6A3D8_RAT	Metalloproteinase inhibitor 2 (Tissue inhibitor of metalloproteinases 2)	Timp2 Cep295nl	Rattus norvegicus (Rat)	226
A0A8I6A4T3	unreviewed	A0A8I6A4T3_RAT	Phospholipase A2 (EC 3.1.1.4)	Pla2g5	Rattus norvegicus (Rat)	142
A0A8I6A5J8	unreviewed	A0A8I6A5J8_RAT	Phospholipase A2 (EC 3.1.1.4)	Pla2g5	Rattus norvegicus (Rat)	133
A0A8I6A641	unreviewed	A0A8I6A641_RAT	Interleukin-6	Il6	Rattus norvegicus (Rat)	211
A0A8I6A6N7	unreviewed	A0A8I6A6N7_RAT	furin (EC 3.4.21.75) (Dibasic-processing enzyme) (Paired basic amino acid residue-cleaving enzyme)	Furin	Rattus norvegicus (Rat)	848
A0A8I6A6U2	unreviewed	A0A8I6A6U2_RAT	Sparc/osteonectin, cwcv and kazal like domains proteoglycan 1	Spock1	Rattus norvegicus (Rat)	475
A0A8I6A7Z3	unreviewed	A0A8I6A7Z3_RAT	SPARC related modular calcium binding 2	Smoc2	Rattus norvegicus (Rat)	89
A0A8I6A821	unreviewed	A0A8I6A821_RAT	Secretogranin-2 (Secretogranin II)	Scg2	Rattus norvegicus (Rat)	619
A0A8I6A874	unreviewed	A0A8I6A874_RAT	Protein Wnt	Wnt2b	Rattus norvegicus (Rat)	406
A0A8I6A9F4	unreviewed	A0A8I6A9F4_RAT	Haptoglobin	Hp	Rattus norvegicus (Rat)	380
A0A8I6AA07	unreviewed	A0A8I6AA07_RAT	ADAM metallopeptidase with thrombospondin type 1, motif 3	Adamts3	Rattus norvegicus (Rat)	1202
A0A8I6AA20	unreviewed	A0A8I6AA20_RAT	Interleukin-1	Il1rn	Rattus norvegicus (Rat)	162
A0A8I6ABK7	unreviewed	A0A8I6ABK7_RAT	Collectin-11	Rps7 Colec11	Rattus norvegicus (Rat)	269
A0A8I6ACI7	unreviewed	A0A8I6ACI7_RAT	Apolipoprotein E	Apoe	Rattus norvegicus (Rat)	336
A0A8I6ACZ6	unreviewed	A0A8I6ACZ6_RAT	Complement C8 alpha chain	C8a	Rattus norvegicus (Rat)	543
A0A8I6ADC3	unreviewed	A0A8I6ADC3_RAT	Large proline-rich protein BAG6 (BCL2-associated athanogene 6) (HLA-B-associated transcript 3)	Bag6	Rattus norvegicus (Rat)	1182
A0A8I6ADH1	unreviewed	A0A8I6ADH1_RAT	Ectonucleotide pyrophosphatase/phosphodiesterase 2	Enpp2	Rattus norvegicus (Rat)	914
A0A8I6ADM8	unreviewed	A0A8I6ADM8_RAT	Apolipoprotein E	Apoe	Rattus norvegicus (Rat)	305
A0A8I6ADP5	unreviewed	A0A8I6ADP5_RAT	CD44 antigen (Extracellular matrix receptor III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (Phagocytic glycoprotein I)	Cd44	Rattus norvegicus (Rat)	737
A0A8I6ADR1	unreviewed	A0A8I6ADR1_RAT	von Willebrand factor A domain-containing protein 1	Col6a3	Rattus norvegicus (Rat)	2708
A0A8I6AF93	unreviewed	A0A8I6AF93_RAT	Pro-interleukin-16 [Cleaved into: Interleukin-16 (IL-16) (Lymphocyte chemoattractant factor) (LCF)]	Il16 IL16	Rattus norvegicus (Rat)	1425
A0A8I6AF98	unreviewed	A0A8I6AF98_RAT	von Willebrand factor (vWF)	Vwf	Rattus norvegicus (Rat)	2795
A0A8I6AFK7	unreviewed	A0A8I6AFK7_RAT	Collagen type IV alpha 1 chain	Col4a1	Rattus norvegicus (Rat)	1562
A0A8I6AFU4	unreviewed	A0A8I6AFU4_RAT	Retinoschisin 1	Rs1	Rattus norvegicus (Rat)	220
A0A8I6AHL9	unreviewed	A0A8I6AHL9_RAT	von Willebrand factor A domain-containing protein 1	Col6a3	Rattus norvegicus (Rat)	3316
A0A8I6AHM1	unreviewed	A0A8I6AHM1_RAT	CD44 antigen (Extracellular matrix receptor III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (Phagocytic glycoprotein I)	Cd44	Rattus norvegicus (Rat)	698
A0A8I6AHV3	unreviewed	A0A8I6AHV3_RAT	Collagen type IV alpha 2 chain	Col4a2	Rattus norvegicus (Rat)	1678
A0A8I6AII1	unreviewed	A0A8I6AII1_RAT	Collagen type V alpha 2 chain	Col5a2	Rattus norvegicus (Rat)	1497
A0A8I6AIJ2	unreviewed	A0A8I6AIJ2_RAT	ADAM metallopeptidase with thrombospondin type 1 motif, 9	Adamts9	Rattus norvegicus (Rat)	1686
A0A8I6AJ44	unreviewed	A0A8I6AJ44_RAT	Tenascin-X	Tnxb AABR07044388.2	Rattus norvegicus (Rat)	4191
A0A8I6AK32	unreviewed	A0A8I6AK32_RAT	Osteocalcin	Bglap	Rattus norvegicus (Rat)	93
A0A8I6AL28	unreviewed	A0A8I6AL28_RAT	ADAM metallopeptidase with thrombospondin type 1 motif, 9	Adamts9	Rattus norvegicus (Rat)	1398
A0A8I6AL83	unreviewed	A0A8I6AL83_RAT	Hemicentin 1	Hmcn1	Rattus norvegicus (Rat)	5529
A0A8I6ALE8	unreviewed	A0A8I6ALE8_RAT	Phospholipase A2 (EC 3.1.1.4)	Pla2g10	Rattus norvegicus (Rat)	140
A0A8I6ALJ7	unreviewed	A0A8I6ALJ7_RAT	SPARC (Osteonectin) (Secreted protein acidic and rich in cysteine)	Sparc	Rattus norvegicus (Rat)	329
A0A8I6AMG2	unreviewed	A0A8I6AMG2_RAT	Biglycan	Bgn	Rattus norvegicus (Rat)	384
A0A8I6APP8	unreviewed	A0A8I6APP8_RAT	CD44 antigen (Extracellular matrix receptor III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (Phagocytic glycoprotein I)	Cd44	Rattus norvegicus (Rat)	484
A0A8I6APT2	unreviewed	A0A8I6APT2_RAT	Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase)	Pnlip	Rattus norvegicus (Rat)	464
A0A8I6ARB9	unreviewed	A0A8I6ARB9_RAT	Nicotinamide phosphoribosyltransferase (NAmPRTase) (EC 2.4.2.12)	Nampt	Rattus norvegicus (Rat)	472
A0A8I6ASM1	unreviewed	A0A8I6ASM1_RAT	Apolipoprotein A-V (Apolipoprotein A5)	Apoa5	Rattus norvegicus (Rat)	371
A0A8I6ASQ4	unreviewed	A0A8I6ASQ4_RAT	Prosaposin	Psap	Rattus norvegicus (Rat)	556
A0A8I6ASV9	unreviewed	A0A8I6ASV9_RAT	Phospholipase A2 (EC 3.1.1.4)	Pla2g2c	Rattus norvegicus (Rat)	152
A0A8I6AUM2	unreviewed	A0A8I6AUM2_RAT	ADAM metallopeptidase with thrombospondin type 1 motif, 9	Adamts9	Rattus norvegicus (Rat)	1580
A0A8I6AUU9	unreviewed	A0A8I6AUU9_RAT	Collagen type XI alpha 2 chain	Col11a2	Rattus norvegicus (Rat)	1689
A0A8I6AVC5	unreviewed	A0A8I6AVC5_RAT	Latent transforming growth factor beta binding protein 3	Ltbp3	Rattus norvegicus (Rat)	1301
A0A8I6AW05	unreviewed	A0A8I6AW05_RAT	Phospholipase A2 (EC 3.1.1.4)	Pla2g10	Rattus norvegicus (Rat)	145
A0A8I6B465	unreviewed	A0A8I6B465_RAT	Resistin	Retn	Rattus norvegicus (Rat)	88
A0A8I6G4E1	unreviewed	A0A8I6G4E1_RAT	Phospholipase A2 (EC 3.1.1.4)	Pla2g10	Rattus norvegicus (Rat)	143
A0A8I6G579	unreviewed	A0A8I6G579_RAT	ADAM metallopeptidase with thrombospondin type 1 motif, 9	Adamts9	Rattus norvegicus (Rat)	1793
A0A8I6G7X3	unreviewed	A0A8I6G7X3_RAT	Chromogranin-A	Chga	Rattus norvegicus (Rat)	477
A0A8I6GA39	unreviewed	A0A8I6GA39_RAT	Uromodulin	Umod	Rattus norvegicus (Rat)	712
A0A8I6GEX8	unreviewed	A0A8I6GEX8_RAT	Collagen type V alpha 2 chain	Col5a2	Rattus norvegicus (Rat)	1498
A0A8I6GF79	unreviewed	A0A8I6GF79_RAT	Adhesion G protein-coupled receptor B2	Adgrb2	Rattus norvegicus (Rat)	1548
A0A8I6GFI0	unreviewed	A0A8I6GFI0_RAT	Decorin	Dcn	Rattus norvegicus (Rat)	384
A0A8I6GFV5	unreviewed	A0A8I6GFV5_RAT	Retinol-binding protein 4 (Plasma retinol-binding protein)	Rbp4	Rattus norvegicus (Rat)	244
A0A8I6GGY9	unreviewed	A0A8I6GGY9_RAT	Cardiotrophin-like cytokine factor 1	Clcf1	Rattus norvegicus (Rat)	348
A0A8I6GJ35	unreviewed	A0A8I6GJ35_RAT	CD44 antigen (Extracellular matrix receptor III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (Phagocytic glycoprotein I)	Cd44	Rattus norvegicus (Rat)	618
A0A8I6GJS4	unreviewed	A0A8I6GJS4_RAT	EGF containing fibulin extracellular matrix protein 2	Efemp2	Rattus norvegicus (Rat)	407
A0A8I6GL59	unreviewed	A0A8I6GL59_RAT	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVa) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVa)	Mgat4a	Rattus norvegicus (Rat)	526
A0A8I6GM69	unreviewed	A0A8I6GM69_RAT	Tubby-like protein	Tub	Rattus norvegicus (Rat)	548
A0A8I6GMC5	unreviewed	A0A8I6GMC5_RAT	Nicotinamide phosphoribosyltransferase (NAmPRTase) (EC 2.4.2.12)	Nampt	Rattus norvegicus (Rat)	494
A0A8I6GMI8	unreviewed	A0A8I6GMI8_RAT	BMP-binding endothelial regulator	Bmper	Rattus norvegicus (Rat)	658
A0A8I6GMN0	unreviewed	A0A8I6GMN0_RAT	Fibrillin 2	Fbn2	Rattus norvegicus (Rat)	2879
A0A8J8XKD3	unreviewed	A0A8J8XKD3_RAT	CD44 antigen (Extracellular matrix receptor III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (Phagocytic glycoprotein I)	Cd44	Rattus norvegicus (Rat)	573
A0A8L2PYQ1	unreviewed	A0A8L2PYQ1_RAT	Large proline-rich protein BAG6 (BCL2-associated athanogene 6) (HLA-B-associated transcript 3)	Bag6	Rattus norvegicus (Rat)	1097
A0A8L2Q1G7	unreviewed	A0A8L2Q1G7_RAT	Calreticulin	Calr	Rattus norvegicus (Rat)	396
A0A8L2Q3T3	unreviewed	A0A8L2Q3T3_RAT	Protein AMBP	Ambp	Rattus norvegicus (Rat)	361
A0A8L2Q768	unreviewed	A0A8L2Q768_RAT	Acid ceramidase (EC 3.5.1.23)	Asah1	Rattus norvegicus (Rat)	388
A0A8L2QGP4	unreviewed	A0A8L2QGP4_RAT	Extracellular matrix protein 1	Ecm1	Rattus norvegicus (Rat)	561
A0A8L2QPE1	unreviewed	A0A8L2QPE1_RAT	Apolipoprotein E	Apoe	Rattus norvegicus (Rat)	333
A0A8L2QQQ8	unreviewed	A0A8L2QQQ8_RAT	Transforming growth factor alpha	Tgfa	Rattus norvegicus (Rat)	160
A0A8L2QS48	unreviewed	A0A8L2QS48_RAT	Large proline-rich protein BAG6 (BCL2-associated athanogene 6) (HLA-B-associated transcript 3)	Bag6	Rattus norvegicus (Rat)	1183
A0A8L2QXP1	unreviewed	A0A8L2QXP1_RAT	Neuropeptide Y	Npy	Rattus norvegicus (Rat)	97
A0A8L2UJK5	unreviewed	A0A8L2UJK5_RAT	CCN family member 2 (Cellular communication network factor 2) (Connective tissue growth factor)	Ccn2	Rattus norvegicus (Rat)	476
A0A8L2UKK1	unreviewed	A0A8L2UKK1_RAT	Nucleobindin-1	Nucb1	Rattus norvegicus (Rat)	459
A0JPN3	reviewed	BPIB1_RAT	BPI fold-containing family B member 1 (Long palate, lung and nasal epithelium carcinoma-associated protein 1)	Bpifb1 Lplunc1	Rattus norvegicus (Rat)	471
A0JPQ9	reviewed	CHID1_RAT	Chitinase domain-containing protein 1	Chid1	Rattus norvegicus (Rat)	393
A2SY89	unreviewed	A2SY89_RAT	Growth differentiation factor 3	Gdf3	Rattus norvegicus (Rat)	366
A6HI66	unreviewed	A6HI66_RAT	Xylosyltransferase 2 (EC 2.4.2.26) (Xylosyltransferase II)	Xylt2	Rattus norvegicus (Rat)	864
A6IE90	unreviewed	A6IE90_RAT	Hyaluronidase (EC 3.2.1.35)	Hyal6	Rattus norvegicus (Rat)	481
A6J6W0	unreviewed	A6J6W0_RAT	Asporin	Aspn	Rattus norvegicus (Rat)	375
A6K1Y8	unreviewed	A6K1Y8_RAT	Platelet-derived growth factor subunit A (Platelet-derived growth factor A chain) (Platelet-derived growth factor alpha polypeptide)	Pdgfa	Rattus norvegicus (Rat)	211
A6KKE5	unreviewed	A6KKE5_RAT	CXC chemokine RTCK1 (Pro-platelet basic protein)	Ppbp Rtck1	Rattus norvegicus (Rat)	111
A7LKE6	unreviewed	A7LKE6_RAT	R-spondin 3	Rspo3	Rattus norvegicus (Rat)	276
A7UJ12	unreviewed	A7UJ12_RAT	Retinoschisin 1	Rs1	Rattus norvegicus (Rat)	224
B1WBR9	unreviewed	B1WBR9_RAT	Protein Wnt	Wnt5b	Rattus norvegicus (Rat)	372
B1WC91	unreviewed	B1WC91_RAT	C1q and TNF related 3 (C1qtnf3 protein)	C1qtnf3	Rattus norvegicus (Rat)	319
B2RZ42	reviewed	ALKL2_RAT	ALK and LTK ligand 2	Alkal2	Rattus norvegicus (Rat)	151
